"","STUDY_ID","REVIEWERS","INCLUDE","Publication.Type","Authors","Book.Authors","Book.Editors","Book.Group.Authors","Author.Full.Names","Book.Author.Full.Names","Group.Authors","Article.Title","Source.Title","Book.Series.Title","Book.Series.Subtitle","Language","Document.Type","Conference.Title","Conference.Date","Conference.Location","Conference.Sponsor","Conference.Host","Author.Keywords","Keywords.Plus","Abstract","Addresses","Affiliations","Reprint.Addresses","Email.Addresses","Researcher.Ids","ORCIDs","Funding.Orgs","Funding.Name.Preferred","Funding.Text","Cited.References","Cited.Reference.Count","Times.Cited..WoS.Core","Times.Cited..All.Databases","X180.Day.Usage.Count","Since.2013.Usage.Count","Publisher","Publisher.City","Publisher.Address","ISSN","eISSN","ISBN","Journal.Abbreviation","Journal.ISO.Abbreviation","Publication.Date","Publication.Year","Volume","Issue","Part.Number","Supplement","Special.Issue","Meeting.Abstract","Start.Page","End.Page","Article.Number","DOI","DOI.Link","Book.DOI","Early.Access.Date","Number.of.Pages","WoS.Categories","Web.of.Science.Index","Research.Areas","IDS.Number","Pubmed.Id","Open.Access.Designations","Highly.Cited.Status","Hot.Paper.Status","Date.of.Export","UT..Unique.WOS.ID.","Web.of.Science.Record"
"1",1,"Kristen1","YES","J","Xia, L; Peng, GH",NA,NA,NA,"Xia, Lu; Peng, Guohua",NA,NA,"Interdisciplinarity in Graduate Education for Groundwater Science and Technology","SUSTAINABILITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Groundwater science and technology is among the most rapidly developing branches of earth science globally. Interdisciplinarity poses both a challenge and a historical mission for graduate education in groundwater science and technology. This paper first analyzes the characteristics of domestic and international graduate education in groundwater science and technology. In addition, taking the China University of Geosciences (Beijing) as an example, it shows the history and development of the field in China. The results indicate that: (1) the graduate courses in groundwater science and technology in China are based on the characteristics of geoscientific research and closely integrate the advantages in environmental studies, ecology, and computer science to promote cross-fertilization across disciplines, departments, and universities; (2) after a few twists and turns in conferring master's and PhD degrees and in the construction of the discipline, groundwater science and technology has witnessed an increase in faculty members, expansion of the field of study, and the addition of modern educational and research facilities; (3) an increasing number of graduate students conduct research into the quality and safety of water supplies, rehabilitation technology of polluted water bodies, environment protection of river basin ecosystems, and so on.",NA,NA,NA,NA,NA,"Xia, Lu/0000-0002-0413-7261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2071-1050",NA,NA,NA,"MAY",2022,14,"9",NA,NA,NA,NA,NA,NA,"5645","10.3390/su14095645","http://dx.doi.org/10.3390/su14095645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000794633000001","View Full Record in Web of Science"
"2",3,"Kristen1","YES","J","Wallen, MM; Guerra-Lopez, I; Meroueh, L; Mohamed, R; Sankar, A; Sopory, P; Watkins, R; Kashian, DR",NA,NA,NA,"Wallen, Megan M.; Guerra-Lopez, Ingrid; Meroueh, Louay; Mohamed, Rayman; Sankar, Andrea; Sopory, Pradeep; Watkins, Ryan; Kashian, Donna R.",NA,NA,"Designing and implementing a novel graduate program to develop transdisciplinary leaders in urban sustainability","ECOSPHERE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban settings, where >50% of the world's population resides, are increasingly faced with environmental challenges that threaten their sustainability. Aging infrastructure, water and air pollution, and increasing recognition of environmental injustices highlight the need for professionals to employ complex scientific reasoning across disciplines where they can effectively address the multifaceted issues of urban sustainability. Here we present an innovative model for preparing the next generation of public, private, and academic leaders to address complex problems in urban sustainability. Specifically, we outline the design and implementation of an integrated, adaptable graduate training program, with the goals of science leadership, curriculum relevancy, community impact, broader applicability, establishing a career development pathway in science, technology, engineering, and mathematics (STEM) programs, and program sustainability. This program addresses human-ecosystem challenges using a transdisciplinary approach to produce scientific products in partnership with local communities, businesses, industries, scientists, and policy makers, while providing a mechanism to understand and overcome contemporary societal and ecological challenges. Students receive rigorous training in their home disciplines, coupled with training across disciplinary lines and developmental experiences, to prepare them to communicate, collaborate, and innovate in a variety of contexts. Training success is evaluated across measurable competency domains including problem definition, research methods, communication, collaboration, and problem-solving. After 3 years the program expanded relationships across fields and professions, successfully established 18 internship opportunities with community partners, created a new dual-title PhD program open to students in five academic departments, and facilitated the coproduction of knowledge with external partners. This model bridges the gaps between research, education, and application, providing an integrated, rigorous graduate training program that fosters collaborative problem-solving between STEM graduate students and the broader community of professionals conducting sustainability work in a postindustrial urban setting.",NA,NA,NA,NA,NA,"Kashian, Donna/0000-0002-4287-9338; Wallen, Megan/0000-0002-7140-2993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2150-8925",NA,NA,NA,NA,"JAN",2022,13,"1",NA,NA,NA,NA,NA,NA,"e3901","10.1002/ecs2.3901","http://dx.doi.org/10.1002/ecs2.3901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000747491800015","View Full Record in Web of Science"
"3",13,"Kristen1","YES","J","Graybill, JK; Dooling, S; Shandas, V; Withey, J; Greve, A; Simon, GL",NA,NA,NA,"Graybill, Jessica K.; Dooling, Sarah; Shandas, Vivek; Withey, John; Greve, Adrienne; Simon, Gregory L.",NA,NA,"A rough guide to interdisciplinarity: Graduate student perspectives","BIOSCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A widely held belief is that only through interdisciplinarity can academics effectively address today's complex ecological problems, because these problems demand cross-disciplinary efforts and specialized knowledge from natural and social scientists. Innovative interdisciplinary research and curricula have been created to train a new generation of scientists to engage with complex issues. It seems critical that those most affected by interdisciplinary education-doctoral students-provide feedback about such innovations. Without understanding students' experiences in interdisciplinary programs, faculty will not know whether they are getting it right for future generations of interdisciplinarians. From our experiences as doctoral students, we provide reflections and perspectives on the National Science Foundation-funded Urban Ecology IGERT (Integrative Graduate Education and Research Traineeship) Program at the University of Washington. We discuss the aspects of the program that provided the most beneficial interdisciplinary experiences, as well as those aspects that could be improved. We identify three stages of intellectual development, present questions encountered during each stage, and develop six core recommendations for interdisciplinary research and training programs.",NA,NA,NA,NA,"Simon, Gregory/GQZ-3718-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0006-3568",NA,NA,NA,NA,"SEP",2006,56,"9",NA,NA,NA,NA,"757","763",NA,"10.1641/0006-3568(2006)56[757:ARGTIG]2.0.CO;2","http://dx.doi.org/10.1641/0006-3568(2006)56[757:ARGTIG]2.0.CO;2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000240571100013","View Full Record in Web of Science"
"4",14,"Kristen1","YES","C","Meléndez-Ackerman, EJ",NA,"Machlis, GE; Hanson, T; Spiric, Z; Mckendry, JE",NA,"Melendez-Ackerman, Elvia J.",NA,NA,"Professional Training and Graduate Education Needs in Warfare Ecology","WARFARE ECOLOGY: A NEW SYNTHESIS FOR PEACE AND SECURITY","NATO Science for Peace and Security Series C-Environmental Security",NA,NA,NA,"NATO Advanced Research Workshop on Warfare Ecology: Synthesis, Priorities and Policy Implications for Peace and Security","DEC 10-12, 2009","Vieques, PR","Univ, Idaho, Coll Nat Resources,Colorado State Univ, Warner Coll Nat Resources",NA,NA,NA,"This essay reviews current best practices in graduate education emphasizing those that would be particularly useful to warfare ecology, a budding subdiscipline within the area of environmental sciences. A discussion is also provided on those teaching strategies and experiences that may be particularly appropriate developing effective graduate and professional training programs in warfare ecology. This newly emergent discipline is inherently interdisciplinary, and as such, the development of professional training and graduate education opportunities in this area would be best served if guided by current best practices for interdisciplinary graduate education. In this essay, I discuss (1) characteristics of warfare ecology that should guide research training and education in this science theme, (2) shared elements of interdisciplinary graduate training programs, (3) highlights of training skills and educational strategies that may be unique to warfare ecology or should be explored, and (4) policy implications for peace and security. Emphasis is given to proven strategies within the context of IGERT programs and similar interdisciplinary programs in the US but with the understanding that implementing interdisciplinary education in warfare ecology (particularly given the nature of its content) is bound to be governed by needs that differ widely from country to country.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1871-4668",NA,"978-94-007-1213-3",NA,NA,NA,2009,NA,NA,NA,NA,NA,NA,"259","271",NA,"10.1007/978-94-007-1214-0_18","http://dx.doi.org/10.1007/978-94-007-1214-0_18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000292621100018","View Full Record in Web of Science"
"5",16,"Kristen1","YES","J","Engebretson, JM; Piso, Z; O'Rourke, M; Hall, TE",NA,NA,NA,"Engebretson, Jesse M.; Piso, Zachary; O'Rourke, Michael; Hall, Troy E.",NA,NA,"Consultative or participatory?: how environmental science graduate students envision transdisciplinarity","JOURNAL OF ENVIRONMENTAL STUDIES AND SCIENCES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Transdisciplinarity - the inclusion of both the public and scientific community in knowledge construction and policy formation - is increasingly called upon to ameliorate wicked problems associated with social-ecological systems. Informed by previous scholarship, we propose that there is a spectrum from superficial to meaningful ways that public perception and knowledge are incorporated in transdisciplinary approaches to constructing knowledge and developing policy. Further, we argue that students in environmental science graduate programs hold beliefs not compatible with current recommendations related to transdisciplinary research and practice. Thus, the primary purpose of this paper is to describe how students imagine the ways in which transdisciplinarity ought to unfold, which can then serve as the foundation for the development of transdisciplinary curricula that meet them where they are. In this study, we used qualitative interviews to explore environmental science graduate students' perceptions of how public stakeholders and scientists ought to work together across four phases of transdisciplinary research: (1) conceptualizing the problem, (2) data collection, (3) analyzing and interpreting information, and (4) participating in decision-making. Our findings suggest that students generally believed that public stakeholders should be superficially included differentially across these phases. Using these findings, we suggest that university environmental science programs should utilize curricula that promote more participatory and meaningful transdisciplinarity across all four phases of transdisciplinary processes to train students to address fractious social-ecological issues.",NA,NA,NA,NA,NA,"O'Rourke, Michael/0000-0002-4629-0811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2190-6483","2190-6491",NA,NA,NA,"MAR",2024,14,"1",NA,NA,NA,NA,"193","201",NA,"10.1007/s13412-023-00881-2","http://dx.doi.org/10.1007/s13412-023-00881-2",NA,"DEC 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:001131580300001","View Full Record in Web of Science"
"6",17,"Kristen1","maybe","J","Bissinger, V; Kolditz, O",NA,NA,NA,"Bissinger, Vera; Kolditz, Olaf",NA,NA,"Helmholtz Interdisciplinary Graduate School for Environmental Research (HIGRADE)","GAIA-ECOLOGICAL PERSPECTIVES FOR SCIENCE AND SOCIETY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A new graduate school for environmental research started in October 2007. It is coordinated by the Helmholtz Centre for Environmental Research (UFZ) and fostered by the Helmholtz Initiative and Networking Fund. How will students benefit from this new school?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0940-5550",NA,NA,NA,NA,NA,2008,17,"1",NA,NA,NA,NA,"71","73",NA,"10.14512/gaia.17.1.16","http://dx.doi.org/10.14512/gaia.17.1.16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000254299400012","View Full Record in Web of Science"
"7",18,"Kristen1","YES","J","Wilson, MN; Laufer, AE; Howard, EM; Wong-Ala, JATK",NA,NA,NA,"Wilson, Megan N.; Laufer, Adrian E.; Howard, Erin M.; Wong-Ala, Jennifer A. T. K.",NA,NA,"Lessons From the Trenches: Students' Perspectives of Their Own Marine Transdisciplinary Education","FRONTIERS IN MARINE SCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Recent environmental changes have demonstrated that the Earth has entered the Anthropocene. In this new age, complex interactions between human and natural systems exacerbate wicked problems that challenge researchers to engage both deep disciplinary expertise and broad integrative knowledge to address these societally relevant problems. Researchers and practitioners are making an increased effort to bridge the divide between human and natural systems research by facilitating multi-, inter-, and transdisciplinary collaborations. Despite 21st century changes to the research environment, the structure of a typical graduate education remains largely unchanged over the past several decades. Wicked problems necessitate communication and collaboration expertise; innovative transdisciplinary training and research opportunities can equip graduate students with these necessary skills. Oregon State University has offered such an opportunity through an NSF-funded Research Traineeship Program (NRT) for students focusing on Risk and Uncertainty Quantification and Communication in Marine Science. Herein, we reflect on the experience of graduate students who successfully completed the NRT and assert that support for transdisciplinary training and research at the graduate stage is urgently needed. We present five lessons learned from our year-long transdisciplinary project focused on the development of an approach for integrating diverse data sets within a social-ecological systems framework to reach a broader understanding of the interconnections between a marine reserve system, people, and the environment. Finally, we present current challenges and paths forward to enhance the success of early career transdisciplinary research.",NA,NA,NA,NA,NA,"Wong-Ala, Jennifer/0000-0002-1244-2709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2296-7745",NA,NA,NA,"JAN 8",2021,7,NA,NA,NA,NA,NA,NA,NA,"592368","10.3389/fmars.2020.592368","http://dx.doi.org/10.3389/fmars.2020.592368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000611108800014","View Full Record in Web of Science"
"8",20,"Kristen1","YES","J","Kainer, KA; Schmink, M; Covert, H; Stepp, JR; Bruna, EM; Dain, JL; Espinosa, S; Humphries, S",NA,NA,NA,"Kainer, KA; Schmink, M; Covert, H; Stepp, JR; Bruna, EM; Dain, JL; Espinosa, S; Humphries, S",NA,NA,"A graduate education framework for tropical conservation and development","CONSERVATION BIOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conventional graduate training related to tropical conservation and development has typically separated the two fields, with students focusing on either conservation from the perspective of the biophysical sciences or development as an extension of the social sciences. On entering the workforce, however, graduates find they are required to work beyond disciplinary boundaries to address the complex interconnectivity between biological conservation and human well-being. We devised a framework for graduate education that broadens students' skill sets to learn outside their immediate disciplines and think in terms of linked socioecological systems, work in teams, communicate in nonacademic formats, and reflect critically on their own perspectives and actions. The University of Florida's Tropical Conservation and Development program has adopted a learning and action platform that blends theory, skills, and praxis to create an intellectual, social, and professionally safe space where students, faculty, and other participants can creatively address the complex challenges of tropical conservation and development. This platform operates within a nondegree granting program and includes core courses that are taught by a team of biophysical and social scientists. It incorporates a range of alternative learning spaces such as student-led workshops, retreats, visiting professionals, practitioner experiences, and a weekly student-led seminar that collectively encourage students and faculty to enhance their skills and systematically and thoroughly reflect on program activities. Challenges to the described approach include increased service demands on faculty, a redefinition of research excellence to include effective and equitable collaboration with host-country partners, and the trade-offs and uncertainties inherent in more collaborative, interdisciplinary research. Despite these challenges, growing interdisciplinary programs, coupled with adaptive educational approaches that emphasize learning and action networks of students, faculty, and field partners, provide the best hope for responding to the emerging challenges of tropical conservation and development.",NA,NA,NA,NA,"Espinosa, Santiago/M-4751-2019; Bruna, Emilio/H-2769-2012","Stepp, John Richard/0000-0001-9594-9187; Espinosa, Santiago/0000-0002-7416-7167; Bruna, Emilio/0000-0003-3381-8477; Covert, Hannah/0000-0001-9483-8557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0888-8892",NA,NA,NA,NA,"FEB",2006,20,"1",NA,NA,NA,NA,"3","13",NA,"10.1111/j.1523-1739.2006.00356.x","http://dx.doi.org/10.1111/j.1523-1739.2006.00356.x",NA,NA,NA,NA,NA,NA,NA,16909654,NA,NA,NA,NA,"WOS:000235367100002","View Full Record in Web of Science"
"9",22,"Kristen1","YES","J","Andrade, K; Corbin, C; Diver, S; Eitzel, MV; Williamson, J; Brashares, J; Fortmann, L",NA,NA,NA,"Andrade, K.; Corbin, C.; Diver, S.; Eitzel, M. V.; Williamson, J.; Brashares, J.; Fortmann, L.",NA,NA,"Finding your way in the interdisciplinary forest: notes on educating future conservation practitioners","BIODIVERSITY AND CONSERVATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"We explore the challenges of educating interdisciplinary thinkers who can address the management of complex socio-ecological systems, such as forests, by sharing our experiences from several perspectives. Five contexts for interdisciplinarity are explored along with examples related to: the department, advising, integrated research collaborations, a graduate working group, an interdisciplinary class, and trans-academic research. These experiences demonstrate the importance of safe space and patience, the need for adequate time to build trust and respect, and the recognition that interdisciplinary thinking is developed and reinforced in multiple contexts. Interdisciplinarity is always a work in progress that differs in its particulars according to the research or management question at hand and the kinds of specializations involved. Thus, there are no hard and fast rules for its creation but only guiding principles that must be adapted in the course of their implementation.",NA,NA,NA,NA,NA,"Diver, Sibyl/0000-0001-6186-832X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0960-3115","1572-9710",NA,NA,NA,"DEC",2014,23,"14",NA,NA,"SI",NA,"3405","3423",NA,"10.1007/s10531-014-0818-z","http://dx.doi.org/10.1007/s10531-014-0818-z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000345701400004","View Full Record in Web of Science"
"10",27,"Kristen1","YES","J","Estévez, RA; Sotomayor, DA; Poole, AK; Pizarro, JC",NA,NA,NA,"Estevez, Rodrigo A.; Sotomayor, Diego A.; Poole, Alexandria K.; Cristobal Pizarro, J.",NA,NA,"Creating a new cadre of academics capable of integrating socio-ecological approach to conservation biology","REVISTA CHILENA DE HISTORIA NATURAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"As education shapes the thinking of the next generation of researchers, its conceptual framework, analytical tools and the way in which these interact with their natural surroundings, will significantly impact scientific Chile realate-related to ecology and natural resource management are integrating socio-ecological aspects in their courses of conservation biology. Additionally, were present our perspectives about the processes, benefits and challenges that arise with participation in programs with interdisciplinary emphases. In Chile, we reviewed 22 graduate programs (nine doctoral and thirteen master's) related to themes of ecology and natural resource management and certified by the National Accreditation Commission as of October 2008. Of them, 64% had a course in Conservation Biology. In spite of some integration of socio-economic aspects in the contents of these courses, the educational perspective of these continues to be within a utilitarian paradigm, which contrasts from broader approaches encompassed with in environmental philosophy. We propose that it is necessary to change the teaching paradigm of conservation biology in Chile, such that it addresses social and ecological aspects that transcend utilitarian and instrumental values, incorporating the human being within ecosystems and the non-equilibrium ecosystem model. To integrate the socio-ecological perspective in conservation courses, we propose the inclusion of four educational components: (a) biocultural approach, (b) interdisciplinarity, (c) multi-directional communication and participation, and (d) field experiences and direct encounters with nature and the local communities.",NA,NA,NA,NA,"Estevez, Rodrigo/KIJ-2328-2024; Poole, Alexandria/IAN-6461-2023; Sotomayor, Diego A./D-7622-2011; Pizarro, J. Cristobal/J-8925-2014","Poole, Alexandria/0000-0003-1338-7454; Sotomayor, Diego A./0000-0003-0534-5625; Pizarro, J. Cristobal/0000-0002-5240-2816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0716-078X",NA,NA,NA,NA,"MAR",2010,83,"1",NA,NA,NA,NA,"17","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000278692100003","View Full Record in Web of Science"
